##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	AB_12_R1_fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2143877
Sequences flagged as poor quality	0
Sequence length	150
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.341611948819825	32.0	32.0	32.0	27.0	32.0
2	31.42158995128918	32.0	32.0	32.0	32.0	32.0
3	35.041580743671396	37.0	32.0	37.0	32.0	37.0
4	36.030762958882434	37.0	37.0	37.0	32.0	37.0
5	36.31950806879313	37.0	37.0	37.0	37.0	37.0
6	39.86852557306226	41.0	41.0	41.0	37.0	41.0
7	39.95151867387914	41.0	41.0	41.0	37.0	41.0
8	40.08422777985864	41.0	41.0	41.0	37.0	41.0
9	40.11248872953066	41.0	41.0	41.0	37.0	41.0
10-14	40.1185578277112	41.0	41.0	41.0	37.0	41.0
15-19	40.128041114298995	41.0	41.0	41.0	37.0	41.0
20-24	40.071487310139524	41.0	41.0	41.0	37.0	41.0
25-29	39.968242394503044	41.0	41.0	41.0	37.0	41.0
30-34	39.87796958500884	41.0	41.0	41.0	37.0	41.0
35-39	39.83042142809499	41.0	41.0	41.0	37.0	41.0
40-44	39.80115333109129	41.0	41.0	41.0	37.0	41.0
45-49	39.76850901427647	41.0	41.0	41.0	37.0	41.0
50-54	39.697471916532535	41.0	41.0	41.0	37.0	41.0
55-59	39.64010425971266	41.0	41.0	41.0	37.0	41.0
60-64	39.56912098968365	41.0	41.0	41.0	37.0	41.0
65-69	39.51352498300976	41.0	41.0	41.0	37.0	41.0
70-74	39.46534964459248	41.0	41.0	41.0	37.0	41.0
75-79	39.19504374551339	41.0	40.2	41.0	36.0	41.0
80-84	39.47910724355921	41.0	41.0	41.0	37.0	41.0
85-89	39.43119339402401	41.0	41.0	41.0	37.0	41.0
90-94	39.369588647109886	41.0	41.0	41.0	37.0	41.0
95-99	39.29258553545749	41.0	41.0	41.0	37.0	41.0
100-104	39.18364253173106	41.0	41.0	41.0	37.0	41.0
105-109	39.081662054306285	41.0	41.0	41.0	37.0	41.0
110-114	38.984793997043674	41.0	41.0	41.0	35.0	41.0
115-119	38.85607719099556	41.0	41.0	41.0	32.0	41.0
120-124	38.73218053087933	41.0	41.0	41.0	32.0	41.0
125-129	38.54779392661053	41.0	40.2	41.0	32.0	41.0
130-134	38.34673435089793	41.0	37.0	41.0	32.0	41.0
135-139	38.11948054855758	41.0	37.0	41.0	32.0	41.0
140-144	37.878705541409325	41.0	37.0	41.0	32.0	41.0
145-149	37.64503868458871	41.0	37.0	41.0	31.0	41.0
150	37.473229574271286	41.0	37.0	41.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.6476689626651932
1101	2	0.16369842894877706
1101	3	0.07051954444732189
1101	4	-0.25746715064308745
1101	5	-0.13206826319425602
1101	6	-0.30359883637052576
1101	7	-0.2711226923251502
1101	8	-0.48946598480960546
1101	9	-0.5770375288518679
1101	10-14	-0.759225899799354
1101	15-19	-0.3811973050899269
1101	20-24	-0.38120546292585544
1101	25-29	-0.527496355383974
1101	30-34	-0.39691468841282784
1101	35-39	-0.345225158886457
1101	40-44	-0.13939718991399985
1101	45-49	-0.20615090540378134
1101	50-54	-0.5755554660843032
1101	55-59	-0.8057074555893635
1101	60-64	-0.5698182305620136
1101	65-69	-0.6256816980937359
1101	70-74	-0.7226513720363528
1101	75-79	-0.4306132961796365
1101	80-84	-0.3245052328263469
1101	85-89	-0.10908476726162064
1101	90-94	-0.465639499281302
1101	95-99	-0.286799165628274
1101	100-104	-0.1618523985165936
1101	105-109	-0.5407300981699379
1101	110-114	-0.35807788647019123
1101	115-119	-0.13385407112782133
1101	120-124	0.007777413185735327
1101	125-129	-0.21508268589057167
1101	130-134	0.10587745158895956
1101	135-139	0.33353768382552573
1101	140-144	0.1418816026662597
1101	145-149	0.2703793451372718
1101	150	0.29482937350844907
1102	1	0.8056241757106513
1102	2	0.1315259179547752
1102	3	0.39792044917481917
1102	4	0.2393867011651878
1102	5	-0.02356688446119648
1102	6	0.1287889319392974
1102	7	0.14535502302855718
1102	8	0.018214580298895555
1102	9	0.046642351346982025
1102	10-14	0.04331908678230434
1102	15-19	0.009999284292227628
1102	20-24	0.04863810653132106
1102	25-29	0.07241952345005132
1102	30-34	0.027740731971192645
1102	35-39	-0.05329942266042309
1102	40-44	-0.051804626573336066
1102	45-49	-0.08030957973048913
1102	50-54	-0.08493582601012406
1102	55-59	-0.028022781852207856
1102	60-64	0.08294837735665794
1102	65-69	0.05234965932503144
1102	70-74	0.1698734113692666
1102	75-79	0.29985983459125265
1102	80-84	0.27232598213785053
1102	85-89	0.21983363520737242
1102	90-94	0.2099918551523814
1102	95-99	0.2565073558972486
1102	100-104	0.2796613347094521
1102	105-109	0.3598611131789937
1102	110-114	0.35746243136603084
1102	115-119	0.5142657648421292
1102	120-124	0.5063525357916063
1102	125-129	0.42571715755865824
1102	130-134	0.6171416447036293
1102	135-139	0.6781820179602605
1102	140-144	0.6465092203622973
1102	145-149	0.7917193385120598
1102	150	0.8606474487382272
1103	1	0.8332984148652507
1103	2	0.11065253152247578
1103	3	0.29795445343842886
1103	4	0.1592151104195807
1103	5	-0.01711261365647232
1103	6	0.05170388204458476
1103	7	0.22224781804824545
1103	8	0.044039510655544234
1103	9	0.042771096720443325
1103	10-14	0.11771884613674644
1103	15-19	0.08138862003201552
1103	20-24	-0.026418981395856633
1103	25-29	0.022896498640008645
1103	30-34	-0.0010862517198404475
1103	35-39	0.009197536573694265
1103	40-44	0.023261093205377392
1103	45-49	0.0600142454875936
1103	50-54	0.03058947446985627
1103	55-59	0.07900903829139594
1103	60-64	0.0319762477742529
1103	65-69	-0.16068051291964736
1103	70-74	-0.12137362960587694
1103	75-79	-0.06371558294186741
