##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	AB_16_R2_fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1256289
Sequences flagged as poor quality	0
Sequence length	150
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	29.907722665724208	32.0	32.0	32.0	27.0	32.0
2	31.055921846008363	32.0	32.0	32.0	32.0	32.0
3	34.53520885719767	37.0	32.0	37.0	32.0	37.0
4	35.31758854849481	37.0	37.0	37.0	32.0	37.0
5	35.729802617072984	37.0	37.0	37.0	32.0	37.0
6	39.00751260259383	41.0	41.0	41.0	37.0	41.0
7	39.14469600545734	41.0	41.0	41.0	37.0	41.0
8	39.156054856804445	41.0	41.0	41.0	37.0	41.0
9	39.20227113347327	41.0	41.0	41.0	37.0	41.0
10-14	39.18789530116079	41.0	41.0	41.0	37.0	41.0
15-19	39.045068770004356	41.0	41.0	41.0	37.0	41.0
20-24	38.89372524952459	41.0	41.0	41.0	37.0	41.0
25-29	38.816110305829305	41.0	41.0	41.0	37.0	41.0
30-34	38.7481176703768	41.0	41.0	41.0	34.0	41.0
35-39	38.63149100246838	41.0	41.0	41.0	32.0	41.0
40-44	38.49133885594795	41.0	41.0	41.0	32.0	41.0
45-49	38.39131680688122	41.0	41.0	41.0	32.0	41.0
50-54	38.26683207446695	41.0	41.0	41.0	32.0	41.0
55-59	38.12203927599462	41.0	37.8	41.0	32.0	41.0
60-64	37.93841671780935	41.0	37.0	41.0	28.0	41.0
65-69	37.86392541843477	41.0	37.0	41.0	27.0	41.0
70-74	37.722193062265134	41.0	37.0	41.0	27.0	41.0
75-79	37.36109923751621	41.0	37.0	41.0	27.0	41.0
80-84	37.77451478123267	41.0	37.0	41.0	27.0	41.0
85-89	37.63183105161313	41.0	37.0	41.0	27.0	41.0
90-94	37.45954521610871	41.0	37.0	41.0	27.0	41.0
95-99	37.31169961688751	41.0	37.0	41.0	27.0	41.0
100-104	37.22808318786522	41.0	37.0	41.0	27.0	41.0
105-109	36.996535669738414	41.0	37.0	41.0	27.0	41.0
110-114	36.83812132399471	41.0	37.0	41.0	22.0	41.0
115-119	36.62922114258741	41.0	37.0	41.0	22.0	41.0
120-124	36.35517146134369	41.0	37.0	41.0	22.0	41.0
125-129	36.03558798970619	41.0	37.0	41.0	22.0	41.0
130-134	35.64203029716889	41.0	35.0	41.0	22.0	41.0
135-139	35.265384955213335	41.0	32.0	41.0	22.0	41.0
140-144	34.72855163103394	40.2	32.0	41.0	12.0	41.0
145-149	34.13975940249417	37.0	32.0	41.0	12.0	41.0
150	33.76892737260296	37.0	32.0	41.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.6206846579269509
1101	2	-0.0737421537424865
1101	3	-0.25369630843265867
1101	4	-0.33296310485478386
1101	5	-0.27047745727989536
1101	6	-0.9623490885350279
1101	7	-0.5545695173596172
1101	8	-1.3845381080574057
1101	9	-1.114677949315137
1101	10-14	-1.0243977814801255
1101	15-19	-1.7096148979551131
1101	20-24	-1.9086932310320819
1101	25-29	-2.2756762823491954
1101	30-34	-2.261928955812813
1101	35-39	-1.780773310923756
1101	40-44	-1.9953616633963662
1101	45-49	-1.8023641446423042
1101	50-54	-2.6601612650152404
1101	55-59	-2.711464951908745
1101	60-64	-2.8100719908977467
1101	65-69	-2.444061368808981
1101	70-74	-2.3776230278206825
1101	75-79	-2.270223592874707
1101	80-84	-2.2686226829325946
1101	85-89	-2.2537523789933758
1101	90-94	-1.7778893061335737
1101	95-99	-1.933681422982822
1101	100-104	-1.5658338760517054
1101	105-109	-1.746476043579861
1101	110-114	-1.5878929439605756
1101	115-119	-1.81475870989712
1101	120-124	-2.320335231534621
1101	125-129	-2.2257740765277276
1101	130-134	-2.555721722211203
1101	135-139	-1.9494207818555225
1101	140-144	-2.422547814967558
1101	145-149	-2.7274158917887696
1101	150	-3.0594960675497163
1102	1	0.39166279847762553
1102	2	0.040603608496113
1102	3	0.21522976634021518
1102	4	0.015434334238925373
1102	5	-0.0817626971654164
1102	6	-0.1568116771645265
1102	7	0.11658388770834449
1102	8	-4.246024678877802E-4
1102	9	0.09487035189052051
1102	10-14	-0.12550995077118188
1102	15-19	7.675616298996601E-5
1102	20-24	-0.023156418004177226
1102	25-29	-0.31629925671022363
1102	30-34	-0.063830438705196
1102	35-39	-0.06472302022898191
1102	40-44	-0.10745690956448328
1102	45-49	-0.14725604408085502
1102	50-54	-0.5228568482496811
1102	55-59	-0.17516450414903062
1102	60-64	-0.4003696164748973
1102	65-69	-0.2779145953714064
1102	70-74	-0.45944488128657923
1102	75-79	-0.07385977066223148
1102	80-84	0.1325455809763767
1102	85-89	-0.03569464890571794
1102	90-94	0.22029322824619868
1102	95-99	0.010596178062272088
1102	100-104	-0.13438598670519042
1102	105-109	0.07670574287166687
1102	110-114	-0.04004473350353521
1102	115-119	0.2019495083383802
1102	120-124	0.037630702827200935
1102	125-129	0.024772659014828946
1102	130-134	0.12271276426125866
1102	135-139	0.2136677130136846
1102	140-144	-0.04771659744010748
1102	145-149	-0.1766582404828938
1102	150	-0.43060933380219524
1103	1	0.46208293440524884
1103	2	0.17781159710140315
1103	3	-0.1297437251357323
1103	4	-0.02144350674510065
1103	5	0.03153596553889315
1103	6	-0.053985639903125104
1103	7	0.19906913877000676
1103	8	0.054468484214545754
1103	9	-0.024689465934812915
1103	10-14	-0.03586476055163956
1103	15-19	0.04603519536922107
1103	20-24	0.0605683153719454
