##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	AB_12_R2_fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2143877
Sequences flagged as poor quality	0
Sequence length	150
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	29.966408520638076	32.0	32.0	32.0	27.0	32.0
2	31.12662666748139	32.0	32.0	32.0	32.0	32.0
3	34.61942033055068	37.0	32.0	37.0	32.0	37.0
4	35.373061980701316	37.0	37.0	37.0	32.0	37.0
5	35.737119713491026	37.0	37.0	37.0	32.0	37.0
6	39.05086019393836	41.0	41.0	41.0	37.0	41.0
7	39.19755750912949	41.0	41.0	41.0	37.0	41.0
8	39.18850101941483	41.0	41.0	41.0	37.0	41.0
9	39.24917800788012	41.0	41.0	41.0	37.0	41.0
10-14	39.237856369558514	41.0	41.0	41.0	37.0	41.0
15-19	39.08861777051576	41.0	41.0	41.0	37.0	41.0
20-24	38.938472123167514	41.0	41.0	41.0	37.0	41.0
25-29	38.86697035324321	41.0	41.0	41.0	37.0	41.0
30-34	38.804710904590145	41.0	41.0	41.0	36.0	41.0
35-39	38.701258794231194	41.0	41.0	41.0	32.0	41.0
40-44	38.55984265888387	41.0	41.0	41.0	32.0	41.0
45-49	38.46497984725803	41.0	41.0	41.0	32.0	41.0
50-54	38.34010570569114	41.0	41.0	41.0	32.0	41.0
55-59	38.20551962635916	41.0	40.2	41.0	32.0	41.0
60-64	38.033143132745025	41.0	37.0	41.0	32.0	41.0
65-69	37.95768656504081	41.0	37.0	41.0	29.0	41.0
70-74	37.82473313534312	41.0	37.0	41.0	27.0	41.0
75-79	37.464346228818165	41.0	37.0	41.0	27.0	41.0
80-84	37.87052578109659	41.0	37.0	41.0	28.0	41.0
85-89	37.73525356165489	41.0	37.0	41.0	27.0	41.0
90-94	37.56147409576202	41.0	37.0	41.0	27.0	41.0
95-99	37.415972837993976	41.0	37.0	41.0	27.0	41.0
100-104	37.33693145642217	41.0	37.0	41.0	27.0	41.0
105-109	37.11656750830387	41.0	37.0	41.0	27.0	41.0
110-114	36.95491756290123	41.0	37.0	41.0	25.0	41.0
115-119	36.75980711580002	41.0	37.0	41.0	22.0	41.0
120-124	36.48491224076754	41.0	37.0	41.0	22.0	41.0
125-129	36.17120758327087	41.0	37.0	41.0	22.0	41.0
130-134	35.78003682114226	41.0	37.0	41.0	22.0	41.0
135-139	35.41173229620916	41.0	33.0	41.0	22.0	41.0
140-144	34.89364352525821	41.0	32.0	41.0	16.0	41.0
145-149	34.30360249212058	39.4	32.0	41.0	12.0	41.0
150	33.94241087525077	37.0	32.0	41.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.5706069325771388
1101	2	-0.04480614925320481
1101	3	-0.3534533179099455
1101	4	-0.4236023243410827
1101	5	-0.378121635251496
1101	6	-0.9272847334562329
1101	7	-0.6237513959946241
1101	8	-1.3763243772022165
1101	9	-1.0651499196808203
1101	10-14	-1.1710923243389146
1101	15-19	-1.7130432186940538
1101	20-24	-2.0850747965006207
1101	25-29	-2.2674391340583497
1101	30-34	-2.4711518503753496
1101	35-39	-2.050878857982113
1101	40-44	-2.1816655069390265
1101	45-49	-2.003685891246249
1101	50-54	-2.750405893894758
1101	55-59	-2.4335239821618444
1101	60-64	-2.714959427357691
1101	65-69	-2.3432961213938768
1101	70-74	-2.17108772286187
1101	75-79	-2.2894544272456017
1101	80-84	-2.2564348636659872
1101	85-89	-2.1668794906098796
1101	90-94	-1.7915091604891842
1101	95-99	-1.7096569242650972
1101	100-104	-1.6326265172549697
1101	105-109	-1.6276755733341162
1101	110-114	-1.6387475282861246
1101	115-119	-1.8913085326375239
1101	120-124	-2.1229628363194806
1101	125-129	-2.1104516320041142
1101	130-134	-2.178950947124818
1101	135-139	-1.9017471907847963
1101	140-144	-2.5197672168582272
1101	145-149	-2.5766740299312048
1101	150	-2.8196484958207897
1102	1	0.528312103852226
1102	2	-0.0171962475825147
1102	3	0.26350847764783936
1102	4	0.09995968672278366
1102	5	-0.09258541775205487
1102	6	-0.09240703667634165
1102	7	0.16971269206187145
1102	8	-0.007923628776737246
1102	9	0.13026906301277563
1102	10-14	0.04052029375306887
1102	15-19	0.0374951111629116
1102	20-24	0.12070220073444915
1102	25-29	-0.10508134505612787
1102	30-34	-0.024824885623729642
1102	35-39	-0.06833812513708892
1102	40-44	-0.12799466903998535
1102	45-49	-0.1442304275785915
1102	50-54	-0.48710295446323926
1102	55-59	-0.46241278260395546
1102	60-64	-0.3502400267945873
1102	65-69	-0.3909733365811263
1102	70-74	-0.6918352196456539
1102	75-79	-0.15710845003253127
1102	80-84	-0.0580985058678678
1102	85-89	-0.07917113110528362
1102	90-94	0.08958584087275767
1102	95-99	-0.046433047950166895
1102	100-104	-0.12944537731159045
1102	105-109	0.002821977035978307
1102	110-114	-0.05367217371479427
1102	115-119	0.07315211967672042
1102	120-124	-0.06295194078354882
1102	125-129	-0.03763251158233061
1102	130-134	0.05131488653915994
1102	135-139	0.04737778739717413
1102	140-144	-0.20118638943596778
1102	145-149	-0.246566985851139
1102	150	-0.40116186420392097
1103	1	0.3138171325596737
1103	2	-0.06971975629937788
1103	3	-0.22778119944243969
1103	4	-0.054033852467135546
1103	5	0.06346799509894652
1103	6	-0.08948267000575072
1103	7	-0.027446644070273862
1103	8	0.06447929558993337
1103	9	0.07166533039091405
1103	10-14	-0.08310325289163245
1103	15-19	-0.04667721198222097
1103	20-24	-0.051247682212412826
1103	25-29	-0.08644857802456585
1103	30-34	-0.1828688557522966
1103	35-39	-0.40805065832394405
1103	40-44	-0.7759257711704706
1103	45-49	-0.6901210123211285
1103	50-54	-0.6267116438604461
1103	55-59	-0.9166715550500442
1103	60-64	-1.0541125892774232
1103	65-69	-1.121870918354837
1103	70-74	-1.100580593104013
1103	75-79	-0.9744126966419131
1103	80-84	-1.2978353651817613
1103	85-89	-1.1289706367356018
1103	90-94	-1.2871003128526723
1103	95-99	-0.9595597399892384
1103	100-104	-1.3759417610889386
1103	105-109	-1.606039534061182
1103	110-114	-1.2064766099633317
1103	115-119	-1.0990752903754597
1103	120-124	-1.0331341251651196
1103	125-129	-0.8345216446043864
1103	130-134	-0.9305786278014878
1103	135-139	-1.0829498306041572
1103	140-144	-1.183568257316324
1103	145-149	-0.9340102575844398
1103	150	-0.9265225055766422
1104	1	0.4040287112622991
1104	2	-0.0656952215843063
1104	3	0.29191521667341647
1104	4	0.24038272839445796
1104	5	0.214075273583461
1104	6	0.22899697481660297
1104	7	0.23637350849668337
1104	8	0.2729025858546521
1104	9	0.33023642681367704
1104	10-14	0.14359795723669322
1104	15-19	0.2374283670082633
1104	20-24	0.22291402990325793
1104	25-29	0.17645506564634417
1104	30-34	0.1348368826695605
1104	35-39	0.03137826739654059
1104	40-44	-0.23444305950874167
1104	45-49	-0.20419813724225122
1104	50-54	-0.12549132964780796
1104	55-59	-0.2636796705492159
1104	60-64	-0.29741924000094855
1104	65-69	-0.3528032596708144
1104	70-74	-0.27986027335555974
1104	75-79	-0.09146410218436785
1104	80-84	0.007105014132015697
1104	85-89	0.06707590836464306
1104	90-94	0.08828304207032289
1104	95-99	0.16283239473027322
1104	100-104	0.05436857648481919
1104	105-109	0.17519030174666028
1104	110-114	0.05426651732711463
1104	115-119	0.13357802391467288
1104	120-124	0.07331066619016013
1104	125-129	0.1486178246220362
1104	130-134	0.07231394424709237
1104	135-139	0.23082968910886592
1104	140-144	0.2202702741436866
