##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	AB_18_R1_fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1470703
Sequences flagged as poor quality	0
Sequence length	150
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.382994391117716	32.0	32.0	32.0	27.0	32.0
2	31.44276988623808	32.0	32.0	32.0	32.0	32.0
3	35.08921651754297	37.0	32.0	37.0	32.0	37.0
4	36.065929694846616	37.0	37.0	37.0	32.0	37.0
5	36.343728815403246	37.0	37.0	37.0	37.0	37.0
6	39.911987668482354	41.0	41.0	41.0	37.0	41.0
7	39.98730403079344	41.0	41.0	41.0	37.0	41.0
8	40.11046553926931	41.0	41.0	41.0	37.0	41.0
9	40.14124945689238	41.0	41.0	41.0	37.0	41.0
10-14	40.15346633548718	41.0	41.0	41.0	37.0	41.0
15-19	40.15958191422742	41.0	41.0	41.0	37.0	41.0
20-24	40.10681612806936	41.0	41.0	41.0	37.0	41.0
25-29	40.007891464150134	41.0	41.0	41.0	37.0	41.0
30-34	39.92310384897563	41.0	41.0	41.0	37.0	41.0
35-39	39.8926159802489	41.0	41.0	41.0	37.0	41.0
40-44	39.85583846636608	41.0	41.0	41.0	37.0	41.0
45-49	39.81916648024788	41.0	41.0	41.0	37.0	41.0
50-54	39.75388232702319	41.0	41.0	41.0	37.0	41.0
55-59	39.69602686606338	41.0	41.0	41.0	37.0	41.0
60-64	39.63148997452238	41.0	41.0	41.0	37.0	41.0
65-69	39.57821150837388	41.0	41.0	41.0	37.0	41.0
70-74	39.527275459423144	41.0	41.0	41.0	37.0	41.0
75-79	39.26343755333333	41.0	40.2	41.0	36.0	41.0
80-84	39.5439892350801	41.0	41.0	41.0	37.0	41.0
85-89	39.49743952381956	41.0	41.0	41.0	37.0	41.0
90-94	39.44063240504711	41.0	41.0	41.0	37.0	41.0
95-99	39.36942727389554	41.0	41.0	41.0	37.0	41.0
100-104	39.259049039812936	41.0	41.0	41.0	37.0	41.0
105-109	39.16208058323129	41.0	41.0	41.0	37.0	41.0
110-114	39.072113676248705	41.0	41.0	41.0	37.0	41.0
115-119	38.95247660472577	41.0	41.0	41.0	35.0	41.0
120-124	38.83251247872616	41.0	41.0	41.0	32.0	41.0
125-129	38.658933040865485	41.0	41.0	41.0	32.0	41.0
130-134	38.46589664942548	41.0	37.8	41.0	32.0	41.0
135-139	38.24623829556341	41.0	37.0	41.0	32.0	41.0
140-144	38.01853712136305	41.0	37.0	41.0	32.0	41.0
145-149	37.79553043680471	41.0	37.0	41.0	32.0	41.0
150	37.61917395966419	41.0	37.0	41.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.5852291662140097
1101	2	0.16814048277275262
1101	3	-0.13801700035393338
1101	4	-0.18175102998822013
1101	5	-0.027966232467314
1101	6	-0.36287024406658475
1101	7	-0.14827597880418608
1101	8	-0.41663194994815456
1101	9	-0.6109143868039979
1101	10-14	-0.6984952397311659
1101	15-19	-0.3963068274153585
1101	20-24	-0.42468093900551906
1101	25-29	-0.43173771997614807
1101	30-34	-0.3982195426294268
1101	35-39	-0.3480038345515979
1101	40-44	-0.22986900329586035
1101	45-49	-0.32780813427979894
1101	50-54	-0.5477065130987455
1101	55-59	-0.739229141456768
1101	60-64	-0.6036835304102013
1101	65-69	-0.5308234235089557
1101	70-74	-0.7785906803274187
1101	75-79	-0.5096688609052507
1101	80-84	-0.3436829093223537
1101	85-89	-0.08515063998220995
1101	90-94	-0.45070262813143813
1101	95-99	-0.5062483214347608
1101	100-104	-0.28335827165555827
1101	105-109	-0.6168797695853314
1101	110-114	-0.5795823320992781
1101	115-119	-0.33760721462736143
1101	120-124	-0.18027591510996643
1101	125-129	-0.20614349361404294
1101	130-134	-0.0350628351779676
1101	135-139	0.029552774536625748
1101	140-144	0.0165265337245728
1101	145-149	0.23706375591363127
1101	150	-0.07099544618738207
1102	1	0.9563958424545831
1102	2	0.12217889328544729
1102	3	0.6624573183258562
1102	4	0.3656507485700544
1102	5	0.12413578707987227
1102	6	0.19889239417378946
1102	7	0.3237449634323326
1102	8	0.19574519631652265
1102	9	0.12169461212099009
1102	10-14	0.08583090770151358
1102	15-19	0.13144054181191933
1102	20-24	0.10211833994254249
1102	25-29	0.044370459695976194
1102	30-34	0.08268817311855514
1102	35-39	-0.024590162466097354
1102	40-44	-0.02469334946643187
1102	45-49	0.013670405125040475
1102	50-54	0.06603915470858368
1102	55-59	-0.023908702807723614
1102	60-64	0.15090031923023162
1102	65-69	0.02577669083084544
1102	70-74	0.1735531908679775
1102	75-79	0.3288847133075663
1102	80-84	0.26075309184840734
1102	85-89	0.2517326978645329
1102	90-94	0.2794754191746023
1102	95-99	0.1909178022546314
1102	100-104	0.2049265493260677
1102	105-109	0.2260868284227513
1102	110-114	0.3459422495893989
1102	115-119	0.42655464457056524
1102	120-124	0.4640170792523648
1102	125-129	0.44025603370851485
1102	130-134	0.5814384764472251
1102	135-139	0.606369970366778
1102	140-144	0.6169352027600965
1102	145-149	0.7485647529675958
1102	150	0.6211993581903528
1103	1	0.7837154830721929
1103	2	-0.11228316391144944
1103	3	0.24352806402374938
1103	4	0.05523729434607816
1103	5	0.09491438038976696
1103	6	0.16015804519457078
1103	7	0.2345058754576641
1103	8	-0.005122420205204037
1103	9	0.037738527497538144
1103	10-14	0.15802531959321442
1103	15-19	0.044258404021263686
1103	20-24	-0.019821831524787115
1103	25-29	0.010148292299447803
1103	30-34	-0.05835189760658466
1103	35-39	0.056834044446056
1103	40-44	0.02932560651539262
1103	45-49	0.07520538734095794
1103	50-54	0.10824586126094005
1103	55-59	0.048634811655979604
1103	60-64	-0.03421138125703038
1103	65-69	-0.1808273923123167
1103	70-74	-0.17343585084751822
1103	75-79	-0.10650581692537031
1103	80-84	-0.07334020776713857
1103	85-89	0.2046672565520069
1103	90-94	0.1445658198818549
1103	95-99	0.03849929036088895
1103	100-104	-0.0964370477873544
1103	105-109	0.12258379587685653
1103	110-114	0.03095419473630301
1103	115-119	0.2393074561004056
1103	120-124	0.18443846949476495
1103	125-129	0.2774125541961965
1103	130-134	0.2529174131029919
1103	135-139	0.1630014800606503
1103	140-144	0.014657688830943982
1103	145-149	0.35059497562842523
1103	150	0.5643758215222476
1104	1	0.6817363849813454
1104	2	0.013478027661953718
1104	3	0.6456964313706877
1104	4	0.19946046748630408
1104	5	0.117412734570145
1104	6	0.31694293657047723
1104	7	0.20403763977629552
1104	8	0.1372615495117202
1104	9	0.12377127930793819
1104	10-14	0.20600079688089323
1104	15-19	0.21197450013711716
1104	20-24	0.11155687156935556
1104	25-29	0.2031968439781835
1104	30-34	0.2388102156258043
1104	35-39	0.17199977848159875
1104	40-44	0.21779219637713965
1104	45-49	0.24530907397689816
1104	50-54	0.17331696066844415
1104	55-59	0.11363300125439935
1104	60-64	0.11567867799247011
1104	65-69	0.11365812447504453
1104	70-74	0.1881466047153566
1104	75-79	0.22555310341695645
1104	80-84	0.2969693709030423
1104	85-89	0.3047485600411548
1104	90-94	0.19829557630055206
1104	95-99	0.2063162752193506
1104	100-104	0.33008385412178853
1104	105-109	0.3869075285957493
1104	110-114	0.42910445806743525
1104	115-119	0.347572597640891
1104	120-124	0.4504178967495349
1104	125-129	0.5331599208848061
1104	130-134	0.5912730747224799
1104	135-139	0.6131496038262867
1104	140-144	0.6248591371522139
1104	145-149	0.7551486293479783
1104	150	0.6187800348204746
1105	1	0.915903421361115
1105	2	0.04723337762802515
1105	3	0.2715331791132698
1105	4	0.24229281781774148
1105	5	0.05207138063727257
1105	6	0.2714731182083483
1105	7	0.17700236914630096
1105	8	-0.004070526797065099
1105	9	-0.05843258049684863
1105	10-14	0.07478994297412811
1105	15-19	0.025933018327002344
1105	20-24	0.08319128620477301
1105	25-29	0.014830084230815999
1105	30-34	0.00800582865362287
1105	35-39	0.06496555174742724
1105	40-44	0.030860793381158658
1105	45-49	0.019838668423368233
1105	50-54	-0.043642431784185476
1105	55-59	0.004561220368124452
1105	60-64	-0.0852490844168372
1105	65-69	0.03855830193733567
1105	70-74	-0.016975987799916936
1105	75-79	0.11167255119607233
1105	80-84	0.12106998941131764
1105	85-89	0.20380709649921158
1105	90-94	0.2845585597548066
1105	95-99	0.08383597875293702
1105	100-104	0.18704500814862257
1105	105-109	0.1422212845329085
1105	110-114	0.24977326907009711
1105	115-119	0.350966890140505
1105	120-124	0.25415928460903103
1105	125-129	0.2030223223671328
1105	130-134	0.3361080739395561
1105	135-139	0.48984332479293613
1105	140-144	0.6372188636515048
1105	145-149	0.4714660258718055
1105	150	0.5547239776149837
1106	1	0.4683310276740116
1106	2	0.08157719672996677
1106	3	0.21561059142543115
1106	4	0.03002567229162878
1106	5	0.017913070100881612
1106	6	0.002798589276437724
1106	7	-0.09573891978369886
1106	8	-0.021303448054041496
1106	9	-0.021689105039222056
1106	10-14	-0.004127214671882484
1106	15-19	-0.10480030939984886
1106	20-24	-0.2584276841484936
1106	25-29	-0.3048778510835888
1106	30-34	-0.3536828599409887
1106	35-39	-0.43957759424699105
1106	40-44	-0.4166262663657889
1106	45-49	-0.29195835717351315
1106	50-54	-0.5189970829373891
1106	55-59	-0.46415560451673343
1106	60-64	-0.4237583540737333
1106	65-69	-0.5770823786894681
1106	70-74	-0.47474821955865565
1106	75-79	-0.43077444694554856
1106	80-84	-0.6906535747936076
1106	85-89	-0.9488348752672096
1106	90-94	-0.7113820181414781
1106	95-99	-0.4864474453559282
1106	100-104	-1.2034294980275817
