##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	AB_05_R2_fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1482628
Sequences flagged as poor quality	0
Sequence length	150
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.06129049228802	32.0	32.0	32.0	27.0	32.0
2	31.18521368812676	32.0	32.0	32.0	32.0	32.0
3	34.7612051033705	37.0	32.0	37.0	32.0	37.0
4	35.464921747059954	37.0	37.0	37.0	32.0	37.0
5	35.84887847794592	37.0	37.0	37.0	32.0	37.0
6	39.183290076809556	41.0	41.0	41.0	37.0	41.0
7	39.31803324906855	41.0	41.0	41.0	37.0	41.0
8	39.33056977205341	41.0	41.0	41.0	37.0	41.0
9	39.38760093563591	41.0	41.0	41.0	37.0	41.0
10-14	39.37696212401222	41.0	41.0	41.0	37.0	41.0
15-19	39.24437161580652	41.0	41.0	41.0	37.0	41.0
20-24	39.10679442179697	41.0	41.0	41.0	37.0	41.0
25-29	39.03288174781536	41.0	41.0	41.0	37.0	41.0
30-34	38.96940270924331	41.0	41.0	41.0	37.0	41.0
35-39	38.865036273428	41.0	41.0	41.0	37.0	41.0
40-44	38.73255934732111	41.0	41.0	41.0	34.0	41.0
45-49	38.640903719611394	41.0	41.0	41.0	32.0	41.0
50-54	38.51813833274429	41.0	41.0	41.0	32.0	41.0
55-59	38.38793534183895	41.0	41.0	41.0	32.0	41.0
60-64	38.2210458725992	41.0	41.0	41.0	32.0	41.0
65-69	38.14597646881079	41.0	37.8	41.0	32.0	41.0
70-74	38.020866191654285	41.0	37.0	41.0	32.0	41.0
75-79	37.66007859017906	41.0	37.0	41.0	28.0	41.0
80-84	38.05688547632987	41.0	37.0	41.0	32.0	41.0
85-89	37.92214041553242	41.0	37.0	41.0	32.0	41.0
90-94	37.75833992073534	41.0	37.0	41.0	28.0	41.0
95-99	37.61946381695206	41.0	37.0	41.0	27.0	41.0
100-104	37.53947112829381	41.0	37.0	41.0	27.0	41.0
105-109	37.315862778795484	41.0	37.0	41.0	27.0	41.0
110-114	37.16423904040663	41.0	37.0	41.0	27.0	41.0
115-119	36.97851881928575	41.0	37.0	41.0	26.0	41.0
120-124	36.710535751382004	41.0	37.0	41.0	22.0	41.0
125-129	36.40102898366954	41.0	37.0	41.0	22.0	41.0
130-134	36.01076035256315	41.0	37.0	41.0	22.0	41.0
135-139	35.65552910102871	41.0	37.0	41.0	22.0	41.0
140-144	35.14300431396142	41.0	32.0	41.0	18.0	41.0
145-149	34.563221792654666	40.2	32.0	41.0	12.0	41.0
150	34.21527652249924	37.0	32.0	41.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.5115665027810969
1101	2	-0.09143025576864261
1101	3	-0.13160606126061225
1101	4	-0.30210158002472554
1101	5	-0.4675100802828922
1101	6	-0.6485825004705461
1101	7	-0.6880223421844036
1101	8	-1.0520483006626407
1101	9	-1.0504866971579219
1101	10-14	-0.9240028809110328
1101	15-19	-1.5625569393132395
1101	20-24	-1.8592032462025614
1101	25-29	-1.9066653705098915
1101	30-34	-2.3060739642717962
1101	35-39	-1.9205622722380866
1101	40-44	-1.9777447903057777
1101	45-49	-1.8312732048401372
1101	50-54	-2.7969811588291265
1101	55-59	-2.562173198272511
1101	60-64	-2.742043370166492
1101	65-69	-2.0273408584942914
1101	70-74	-1.9249161450608412
1101	75-79	-2.2408898863345996
1101	80-84	-2.089147332337852
1101	85-89	-1.931249597639038
1101	90-94	-1.8036571629450222
1101	95-99	-1.6230133333335957
1101	100-104	-1.615277944844543
1101	105-109	-1.4563969431643642
1101	110-114	-1.5446747181950968
1101	115-119	-1.751049123460092
1101	120-124	-1.8685670796260538
1101	125-129	-2.076147492649554
1101	130-134	-2.275046660619388
1101	135-139	-1.6017129107078674
1101	140-144	-1.995981833153209
1101	145-149	-2.350911968732923
1101	150	-2.7982796939598344
1102	1	0.48113361453927084
1102	2	0.030325650593880482
1102	3	0.31598720338729436
1102	4	0.15653262843679272
1102	5	-0.0772269964168828
1102	6	-0.17274062573732607
1102	7	0.08729367632771812
1102	8	0.1127874334726755
1102	9	0.19170914664736927
1102	10-14	0.05961082641960758
1102	15-19	0.06735398925072644
1102	20-24	0.02751892849364168
1102	25-29	-0.08059103154960212
1102	30-34	-0.10888735704512698
1102	35-39	-0.21757388925038867
1102	40-44	-0.3707615649244076
1102	45-49	-0.33481516264057376
1102	50-54	-0.5519772357185531
1102	55-59	-0.5856133854482763
1102	60-64	-0.5229817463352333
1102	65-69	-0.6738584115359885
1102	70-74	-0.7184081208385109
1102	75-79	-0.3170745683146805
1102	80-84	-0.1054421447989995
1102	85-89	-0.044527245827232775
1102	90-94	-0.018506446423863565
1102	95-99	0.008156532926406612
1102	100-104	-0.22717338287799294
1102	105-109	-0.03218789716213166
1102	110-114	-0.21213495131464555
1102	115-119	0.005245476462327758
1102	120-124	-0.05614897345233061
1102	125-129	-0.16808713873715675
1102	130-134	-0.06442123000708477
1102	135-139	0.14428835035521814
1102	140-144	-0.20665756459636953
1102	145-149	-0.5801527804183024
1102	150	-0.8390335510948503
1103	1	0.402801083334392
1103	2	0.02161422307608163
1103	3	0.11995273894866898
1103	4	0.003336511155197286
1103	5	0.004777616342586555
1103	6	-0.05251042528855265
1103	7	0.08847186760097259
1103	8	0.04325695988353573
1103	9	0.05362794207960775
1103	10-14	0.03416158239962641
1103	15-19	-0.047184328529645825
1103	20-24	-0.01439717928741402
